Date,Clics,Impressions,CTR,Position
2026-07-01,2,116,1.72%,11.2
2026-07-02,1,125,0.8%,11.2
2026-07-03,1,159,0.63%,7.5
2026-07-04,0,155,0%,9.6
2026-07-05,0,145,0%,8.1
2026-07-06,2,218,0.92%,7.7
2026-07-07,2,177,1.13%,11
2026-07-08,5,192,2.6%,8.2
2026-07-09,2,183,1.09%,8
2026-07-10,0,149,0%,9.9
2026-07-11,1,97,1.03%,8.8
2026-07-12,2,132,1.52%,12.3
2026-07-13,2,102,1.96%,10.4
2026-07-14,2,40,5%,14.7
2026-07-15,1,58,1.72%,14.4
2026-07-16,2,74,2.7%,10.6
2026-07-17,2,72,2.78%,12.8
2026-07-18,0,48,0%,13.8
2026-07-19,1,44,2.27%,13.2
2026-07-20,3,82,3.66%,12.9
2026-07-21,0,85,0%,12.8
2026-07-22,1,116,0.86%,10.3
2026-07-23,2,85,2.35%,12.1
2026-07-24,1,94,1.06%,11.7
2026-07-25,5,138,3.62%,12.9
2026-07-26,7,234,2.99%,15.1
2026-07-27,7,222,3.15%,12.8
2026-07-28,9,255,3.53%,12.4
2026-07-29,6,226,2.65%,15.4
2026-07-30,8,263,3.04%,13.5
2026-07-31,3,194,1.55%,16.2
