Pays,Clics,Impressions,CTR,Position
France,55,2457,2.24%,13.34
Belgique,9,186,4.84%,6.79
Suisse,2,48,4.17%,8.33
Algérie,2,45,4.44%,11.89
Côte d'Ivoire,2,31,6.45%,5.84
Vietnam,1,79,1.27%,19.71
Maroc,1,75,1.33%,8.93
Canada,1,41,2.44%,8
Espagne,1,35,2.86%,8.31
Tunisie,1,29,3.45%,7.9
Russie,1,14,7.14%,7.29
Mexique,1,10,10%,13.3
Luxembourg,1,7,14.29%,16.29
Mauritanie,1,4,25%,3.75
Kenya,1,1,100%,1
États-Unis,0,447,0%,8.77
Allemagne,0,106,0%,9
Pays-Bas,0,86,0%,6.94
Royaume-Uni,0,64,0%,9.53
Brésil,0,39,0%,7.36
Inde,0,32,0%,12.62
Philippines,0,21,0%,11.24
Indonésie,0,21,0%,12.57
Madagascar,0,20,0%,5.3
Italie,0,19,0%,13.26
Cameroun,0,18,0%,5.17
Turquie,0,17,0%,16.47
Bénin,0,16,0%,6.94
Bangladesh,0,15,0%,17.33
Thaïlande,0,14,0%,13.5
Israël,0,14,0%,14.93
Pakistan,0,13,0%,9.46
Ukraine,0,11,0%,16.73
Sénégal,0,10,0%,3.3
Portugal,0,10,0%,11.1
Arabie Saoudite,0,10,0%,12.6
Argentine,0,9,0%,5.89
Pologne,0,7,0%,5.71
Guinée,0,7,0%,7.43
Monaco,0,7,0%,8
Malaisie,0,7,0%,16.43
Chili,0,6,0%,5.33
Réunion (Île de la),0,6,0%,6.5
Singapour,0,6,0%,7
Martinique,0,6,0%,7.67
Niger,0,6,0%,7.67
Nigéria,0,6,0%,9.33
Australie,0,6,0%,10.5
Jordanie,0,6,0%,18
Burkina Faso,0,5,0%,3.2
Haïti,0,5,0%,7.6
Colombie,0,5,0%,9.6
Japon,0,5,0%,13.2
Taïwan,0,5,0%,14.2
Togo,0,4,0%,3.25
Mali,0,4,0%,4
Roumanie,0,4,0%,7.25
Hong-Kong,0,4,0%,8.25
Émirats Arabes Unis,0,4,0%,8.75
Gabon,0,3,0%,1
Bulgarie,0,3,0%,4.33
République tchèque,0,3,0%,4.67
Grèce,0,3,0%,6
République démocratique du Congo,0,3,0%,8
Croatie,0,3,0%,8.33
Guadeloupe,0,3,0%,10
Cambodge,0,2,0%,1
République Dominicaine,0,2,0%,2
Autriche,0,2,0%,4.5
Monténégro,0,2,0%,4.5
Djibouti,0,2,0%,5
Congo-Brazzaville,0,2,0%,5.5
Saint-Martin,0,2,0%,5.5
Panama,0,2,0%,5.5
Maurice (Île),0,2,0%,6
Équateur,0,2,0%,7
Irlande,0,2,0%,7.5
Suède,0,2,0%,7.5
Polynésie française,0,2,0%,8.5
Andorre,0,2,0%,9
Sri Lanka,0,2,0%,9
Afrique du Sud,0,2,0%,10.5
Irak,0,2,0%,12
Bosnie-Herzégovine,0,2,0%,18.5
Lettonie,0,2,0%,30.5
Bolivie,0,1,0%,1
Sahara oriental,0,1,0%,1
Moldavie,0,1,0%,1
Pérou,0,1,0%,1
Rwanda,0,1,0%,1
Tchad,0,1,0%,1
Norvège,0,1,0%,2
Paraguay,0,1,0%,2
Géorgie,0,1,0%,3
El Salvador,0,1,0%,3
Égypte,0,1,0%,4
Finlande,0,1,0%,4
Guinée-Bissau,0,1,0%,4
Syrie,0,1,0%,4
Liban,0,1,0%,5
Malte,0,1,0%,5
Mongolie,0,1,0%,6
Nouvelle-Zélande,0,1,0%,6
Venezuela,0,1,0%,6
Botswana,0,1,0%,7
Bahreïn,0,1,0%,8
Serbie,0,1,0%,8
Bermudes,0,1,0%,9
Chypre,0,1,0%,9
Danemark,0,1,0%,9
Kiribati,0,1,0%,9
